name,federation,sex,title_fide,fide_id,rating_fide,chesscom_username,chesscom_title,chesscom_rating_blitz,chesscom_rating_rapid,chesscom_rating_bullet,lichess_username,lichess_title,lichess_rating_blitz,lichess_rating_rapid,lichess_rating_bullet
"Rifai, Abdulkader",SYR,M,CM,146242580.0,2213.0,kashkoosh,CM,2422.0,2091.0,2378.0,,,,,
"Riff, Jean-Noel",FRA,M,GM,611190.0,2398.0,jncool68,GM,2901.0,2279.0,2774.0,,,,,
"Riff, Vincent",FRA,M,FM,617776.0,2365.0,secretworker2027,FM,2659.0,2376.0,2626.0,,,,,
"Riffo Paz, Elizardo",CHI,M,FM,3404285.0,2167.0,,,,,,,,,,
"Righi, Ezio",SMR,M,FM,11800038.0,1884.0,fortizio,FM,1773.0,2038.0,2150.0,,,,,
"Rigo, Zsolt",SVK,M,IM,14903172.0,2403.0,,,,,,,,,,
"Riha, Vojtech",CZE,M,FM,377430.0,2284.0,vojtariha,FM,2309.0,2237.0,2066.0,,,,,
"Rihterovic, Milan",SRB,M,FM,902365.0,2044.0,,,,,,,,,,
"Rijnaarts, Sjef",NED,M,FM,1014870.0,2268.0,shevtsjenko,FM,2343.0,,2235.0,,,,,
"Riline Orso, Alejandro A.",PAR,M,CM,3700143.0,2089.0,,,,,,,,,,
"Rimawi, B. T",JOR,M,FM,8100012.0,1981.0,,,,,,,,,,
"Rinas, Oleg",KAZ,M,FM,13702599.0,2408.0,rinas_oleg,FM,2249.0,2458.0,,,,,,
"Rinberg, Alexander",ISR,M,FM,14102510.0,2290.0,,,,,,,,,,
"Rincon Gonzalez, Drina",VEN,F,WCM,3900380.0,1971.0,,,,,,,,,,
"Rincon Gonzalez, Luzalba Sorelyz",VEN,F,WCM,3902145.0,1954.0,,,,,,,,,,
"Rind, Bruce",USA,M,IM,2000792.0,2307.0,brind1998,IM,,2045.0,,,,,,
Rindhiya V,IND,F,WFM,25040529.0,2075.0,chess151004,WFM,2111.0,2075.0,2229.0,,,,,
"Rindlisbacher, Lars",SUI,M,FM,1304178.0,2247.0,,,,,,,,,,
"Ringoir, Tanguy",BEL,M,GM,208027.0,2525.0,,,,,,,,,,
"Ringuet, Noe",FRA,M,FM,685542.0,2207.0,,,,,,,,,,
"Riordan, Charles",USA,M,FM,2020173.0,2279.0,,,,,,,,,,
"Rios Chacon, Celisbeth Karina",VEN,F,WCM,3901769.0,1979.0,,,,,,,,,,
"Rios Escobar, Adan",CHI,M,FM,3403645.0,2235.0,,,,,,,,,,
"Rios Gomez, Cristhian Camilo",COL,M,GM,4403940.0,2375.0,,,,,,,,,,
"Rios Parra, Alejandro",COL,M,IM,4400348.0,2168.0,ariosp,IM,2223.0,2262.0,1738.0,ariosp,IM,2423.0,2387.0,2308.0
"Rios Parra, Mauricio",COL,M,FM,4401204.0,2267.0,riospm,FM,2449.0,2346.0,2295.0,,,,,
"Rioseco Pinochet, Fernan",CHI,M,CM,3402339.0,2104.0,,,,,,,,,,
"Ripari, Marcelo",ARG,M,FM,105228.0,2188.0,usurpov,FM,2346.0,2401.0,2304.0,,,,,
"Ris, Robert",NED,M,IM,1011480.0,2447.0,robertris,IM,2770.0,1679.0,2397.0,,,,,
"Rishovd, Svein",NOR,M,CM,1513060.0,2163.0,,,,,,,,,,
"Ristea, Ionut",ROU,M,CM,1214659.0,2251.0,,,,,,,,,,
"Risteski, Emil",MKD,M,IM,15005267.0,2405.0,emilristeski,IM,2808.0,2197.0,2815.0,,,,,
"Ristic, Luka",SRB,M,FM,987760.0,2280.0,lukar07,CM,2384.0,2204.0,2368.0,,,,,
"Ristic, Nebojsa B",SRB,M,FM,935468.0,2288.0,,,,,,,,,,
"Ristic, Nebojsa M",SRB,M,IM,900850.0,2248.0,,,,,,,,,,
"Ristic, Nenad",SRB,M,GM,901318.0,2282.0,,,,,,,,,,
"Risting, Eivind Olav",NOR,M,FM,1517333.0,2265.0,ristingho,FM,2469.0,2382.0,2371.0,,,,,
"Ristoja, Jan",FIN,M,FM,503673.0,2170.0,,,,,,,,,,
"Ristovic, Nenad",CAN,M,FM,2602296.0,2198.0,ristovic,FM,1856.0,1335.0,,,,,,
"Ritscher, Jan-Paul, Dr.",GER,M,FM,4627695.0,2240.0,,,,,,,,,,
"Ritter, Mark",USA,M,FM,2002965.0,2392.0,,,,,,,,,,
"Ritviz, Parab",IND,M,IM,5073367.0,2372.0,,,,,,,,,,
"Ritzerveld, Noah",NED,M,FM,1085760.0,2263.0,noahritzerveld,FM,2247.0,2300.0,2092.0,,,,,
"Rivas Garcia, Victor",ESP,M,CM,2217740.0,2097.0,,,,,,,,,,
"Rivas Lugo, Omary Milena",VEN,F,WCM,3905390.0,1804.0,,,,,,,,,,
"Rivas Pastor, Manuel",ESP,M,GM,2200058.0,2541.0,,,,,,,,,,
"Rivas Vila, David",ESP,M,CM,2221594.0,2106.0,,,,,,,,,,
"Rivello, Roberto",ITA,M,FM,801305.0,2259.0,,,,,,,,,,
"Rivera Huerta, Alberto",MEX,M,CM,5106052.0,1994.0,,,,,,,,,,
"Rivera Negron, Yanira",PUR,F,WCM,3101177.0,1814.0,arinay,WCM,1831.0,1628.0,,,,,,
"Rivera, Alberto",FID,M,IM,3500390.0,2261.0,albertopierce,CM,2351.0,2160.0,2068.0,,,,,
"Rivera, Daniel",URU,M,IM,3000052.0,2193.0,,,,,,,,,,
"Rivera, Ingris",COL,F,WIM,4402472.0,2127.0,sharingo07,WIM,2169.0,2284.0,1640.0,,,,,
"Rivero Ojeda, Carmelo",ESP,M,FM,2266547.0,2166.0,,,,,,,,,,
"Riverol, Jose",URU,M,FM,3000427.0,2304.0,nau64,FM,2234.0,2328.0,2151.0,nau64,FM,2269.0,1683.0,2261.0
"Rix, Steven J L",ENG,M,CM,405710.0,2199.0,,,,,,,,,,
"Rizouk, Aimen",ALG,M,GM,7900309.0,2429.0,,,,,,,,,,
"Rizouk, Ryad",ALG,M,IM,7900279.0,2354.0,,,,,,,,,,
"Rizzitano, James",USA,M,IM,2000806.0,2225.0,,,,,,,,,,
"Rizzo, Marina",ARG,F,WFM,102687.0,2054.0,,,,,,,,,,
"Rjabzev, Konstantin",RUS,M,IM,4150015.0,2150.0,hell3raiser,IM,2409.0,2150.0,2150.0,,,,,
"Rjanova, Valery",RUS,F,WFM,24129119.0,2178.0,arrover,WFM,2124.0,2250.0,2017.0,,,,,
"Roa Alonso, Santiago",ESP,M,IM,2201569.0,2349.0,,,,,,,,,,
"Robaina Marrero, Yamile",CUB,F,WFM,3506720.0,2113.0,,,,,,,,,,
"Robelly Garrido,David Emilio",ECU,M,CM,3632610.0,1512.0,,,,,,,,,,
"Roberson, Peter T",ENG,M,IM,412384.0,2451.0,,,,,,,,,,
"Robert, Yoann",FRA,M,CM,36018805.0,2247.0,yoyolol34,CM,2631.0,2205.0,2510.0,,,,,
"Roberts, Marcel",RSA,M,CM,14300184.0,1922.0,,,,,,,,,,
"Roberts, Paul",SCO,M,CM,2400600.0,2098.0,,,,,,,,,,
"Roberts, Tallulah",JCI,F,WCM,15600572.0,1673.0,,,,,,,,,,
"Robertsen, Thomas",NOR,M,CM,1503219.0,2163.0,,,,,,,,,,
"Robin, Samy",FRA,M,FM,627330.0,2300.0,robin-side,FM,2606.0,2155.0,2701.0,,,,,
"Robledo, Cristian",ARG,M,FM,133450.0,2236.0,pintacara,FM,2411.0,2467.0,2632.0,,,,,
"Robledo, Nestor Daniel",ARG,M,FM,104426.0,2320.0,,,,,,,,,,
"Robles Garcia, Claudia",ESP,F,WIM,2266423.0,2263.0,,,,,,,,,,
"Robovic, Saudin",BIH,M,IM,14400251.0,2357.0,,,,,,,,,,
"Robson, Ray",USA,M,GM,2023970.0,2674.0,spicycaterpillar,GM,3222.0,2682.0,3203.0,,,,,
"Robulj, Nenad",SRB,M,FM,930083.0,2277.0,,,,,,dizalica123,FM,2331.0,1829.0,2475.0
"Roca Galarza, Jose",ESP,M,FM,2220768.0,2234.0,,,,,,,,,,
"Roca Mendoza, Yuryen",CUB,F,WFM,3508552.0,2114.0,,,,,,,,,,
"Roca Rojas, Ana Flavia",CUB,F,WIM,3514269.0,2147.0,,,,,,Annachess96,WIM,2277.0,1500.0,1952.0
"Roca, Alfredo",ARG,M,FM,100676.0,2356.0,,,,,,,,,,
"Roca, Petronio",PHI,M,IM,5200180.0,2381.0,,,,,,,,,,
"Rocco, Federico",ENG,M,CM,431362.0,2171.0,federrocco,CM,2423.0,2276.0,2453.0,,,,,
"Rocha, Antonio",BRA,M,IM,2100185.0,2300.0,,,,,,,,,,
"Rocha, Fabiana",BOL,F,WCM,3304809.0,1702.0,,,,,,,,,,
"Rocha, Maximiliano",NCA,M,FM,6100775.0,2129.0,tsukasa06,FM,2319.0,2188.0,2085.0,Tsukasa1,FM,2221.0,2202.0,2353.0
"Rocha, Roberto Da Costa",BRA,M,CM,2133296.0,1972.0,,,,,,,,,,
"Rocha, Sergio",POR,M,IM,1900404.0,2279.0,,,,,,,,,,
"Rocha, Wellington Carlos",BRA,M,IM,2100738.0,2372.0,,,,,,,,,,
"Rocha,Jorge Wilson M. da",BRA,M,CM,2103362.0,2181.0,,,,,,,,,,
"Rochev, Yury",RUS,M,FM,4174402.0,2350.0,,,,,,,,,,
"Rodas Martini, Pablo",GUA,M,FM,7300026.0,2295.0,gorvachov,FM,2066.0,1959.0,2001.0,,,,,
"Rodchenkov, Sergey D.",RUS,M,IM,4168712.0,2346.0,,,,,,,,,,
"Rodchenkov, Vitaly",RUS,M,FM,4152964.0,2299.0,rodchenkov_vitalij,FM,2258.0,2171.0,2265.0,siete7777,FM,2267.0,1646.0,2510.0
"Rodgaard, John",FAI,M,IM,7200013.0,2245.0,,,,,,,,,,
"Rodgers, Jack",AUS,M,FM,3220885.0,2183.0,jackrodgers,FM,2557.0,2489.0,2731.0,,,,,
"Rodi, Luis Ernesto",URU,M,IM,101710.0,2222.0,,,,,,,,,,
"Rodin, Dmitrij",RUS,M,IM,4127412.0,2243.0,,,,,,,,,,
"Rodionova, Daria",RUS,F,WFM,24136638.0,2167.0,,,,,,,,,,
"Rodionova, Polina",RUS,F,WFM,24102555.0,2024.0,the_namelessss,WFM,2060.0,2010.0,,,,,,
"Rodnishchev, Slava",RUS,M,FM,4117336.0,2360.0,,,,,,,,,,
"Rodrigo Yanguas, Maria",ESP,F,WFM,2281201.0,1980.0,merybliya,WFM,1813.0,1858.0,1756.0,,,,,
"Rodrigue-Lemieux, Shawn",CAN,M,GM,2620049.0,2516.0,fmshawnrl123,GM,2842.0,2413.0,2931.0,fmshawnrl123,GM,2834.0,2612.0,3014.0
"Rodrigues, Adriano",BRA,M,FM,2100908.0,2295.0,drinbet,FM,2147.0,2083.0,1902.0,,,,,
"Rodrigues, Bruno Morado",BRA,M,CM,2115654.0,2056.0,brunomorado,CM,2545.0,2400.0,2170.0,,,,,
"Rodrigues, Camilo Pinto",BRA,M,FM,2103419.0,2100.0,,,,,,,,,,
"Rodrigues, Edgar",BRA,M,FM,2107090.0,2314.0,edgarrodrigues,FM,2503.0,2016.0,2379.0,EdgarRodrigues,FM,2481.0,2476.0,2497.0
"Rodrigues, Fernanda dos Santos",BRA,F,WCM,2113902.0,1945.0,,,,,,,,,,
"Rodriguez Aguilera, Antonio",ESP,M,FM,2200503.0,2195.0,,,,,,,,,,
