player_username,n_triggers,tilt_acpl_median,tilt_acpl_mean,tilt_winrate_median,tilt_winrate_mean,tilt_moves_median,enough_triggers
d-pawn,6,-5.483333333333334,0.5166666666666657,-2.7755575615628914e-17,-1.850371707708594e-17,-5.450000000000003,True
danshev16,2,-6.016666666666666,-6.016666666666666,0.21666666666666662,0.21666666666666662,-0.783333333333335,True
ebret,7,5.701754385964918,7.558897243107774,0.033333333333333326,0.033333333333333326,0.45000000000000284,True
elsas,7,-0.4833333333333343,-0.29285714285714143,-0.016666666666666663,0.030952380952380953,3.066666666666663,True
escha,4,-3.7222222222222214,-2.3472222222222214,-0.08333333333333334,-0.041666666666666685,2.5166666666666693,True
gravereaper,2,-1.3666666666666671,-1.3666666666666671,0.08333333333333331,0.08333333333333331,13.049999999999997,True
haski_2014,10,7.433333333333334,5.033333333333336,-0.25,-0.11666666666666667,3.916666666666668,True
hhcuuid,2,5.385964912280706,5.385964912280706,-0.033333333333333326,-0.033333333333333326,11.549999999999997,True
imnow,4,-14.083333333333334,-11.166666666666668,0.3833333333333333,0.3,-10.983333333333333,True
jeppehaldfalk,4,-2.75,-2.875,0.08333333333333331,0.12499999999999999,-12.049999999999997,True
juancruzariasTDF,3,4.949999999999999,3.1722222222222207,-0.033333333333333326,-0.033333333333333326,10.733333333333334,True
kasparovsabe,1,-0.3166666666666629,-0.3166666666666629,0.11666666666666659,0.11666666666666659,-3.2333333333333343,False
kathryna,1,1.0,1.0,-0.06666666666666671,-0.06666666666666671,-7.983333333333334,False
kpio91,3,-8.083333333333332,-9.527777777777777,0.016666666666666607,0.016666666666666625,-14.366666666666667,True
laksshana,4,-2.987179487179489,-6.070512820512821,-0.1,-0.016666666666666663,2.9833333333333325,True
laligb,4,-0.016666666666669272,-0.7666666666666675,-0.1333333333333334,-0.008333333333333387,-5.116666666666669,True
lindenice,5,-4.049999999999997,0.35000000000000214,-0.21666666666666673,-0.01666666666666673,-8.950000000000003,True
marichola,5,-0.6833333333333371,-0.6833333333333336,-0.26666666666666666,-0.26666666666666666,7.0333333333333385,True
matols1992,5,-15.549999999999997,-14.883333333333331,0.11666666666666659,0.11666666666666661,-0.6333333333333329,True
meoluoi91,4,17.950000000000006,19.700000000000003,-0.21666666666666673,-0.21666666666666673,-0.8333333333333321,True
mlatb,1,-15.399999999999999,-15.399999999999999,0.15000000000000002,0.15000000000000002,-0.14999999999999858,False
muisback,3,2.2833333333333314,1.3944444444444422,-0.16666666666666669,-0.16666666666666666,-2.5166666666666657,True
parajuli1982,4,-2.9666666666666615,-4.424999999999997,0.21666666666666662,0.21666666666666665,-1.2666666666666675,True
paruchi,3,5.933333333333337,5.933333333333337,-0.1166666666666667,-0.1166666666666667,3.799999999999997,True
pepechess1,4,13.464912280701753,16.673245614035082,-0.3166666666666667,-0.2333333333333334,3.450000000000003,True
pollocuba2019,3,1.3999999999999986,-0.7111111111111109,0.44999999999999996,0.22777777777777772,-3.4166666666666643,True
sahibsinghknight,3,-8.614035087719298,-9.058479532163743,0.4,0.2888888888888889,-8.299999999999997,True
theKittycat,7,2.75,4.559523809523809,-0.4,-0.2571428571428572,2.683333333333337,True
tilsiav,2,-19.333333333333336,-19.333333333333336,0.35,0.35,-5.933333333333334,True
tka3,3,11.456140350877192,4.567251461988305,-0.21666666666666673,-0.3277777777777779,-5.100000000000001,True
tomikapi2,5,-1.2999999999999972,-0.766666666666665,0.25,0.18333333333333332,-5.566666666666663,True
zabivol_mc,3,-4.616666666666671,-0.9500000000000041,0.30000000000000004,0.1888888888888889,-2.866666666666667,True
