player_username,trigger_game_id,trigger_timestamp,trigger_opponent_rating,trigger_moves,post_n,baseline_acpl,baseline_winrate,baseline_moves,post_acpl,post_winrate,post_moves,tilt_acpl,tilt_winrate,tilt_moves
pepechess1,bgc5183L,1671077892552,2339.0,43,3,54.36842105263158,0.65,40.05,122.5,0.3333333333333333,21.333333333333332,68.13157894736841,-0.3166666666666667,-18.716666666666665
pepechess1,n2gdJNxa,1689726912076,2362.0,1,3,54.36842105263158,0.65,40.05,94.66666666666667,0.3333333333333333,38.666666666666664,40.29824561403509,-0.3166666666666667,-1.3833333333333329
pepechess1,2FaC8nRD,1746399600462,1530.0,35,3,54.36842105263158,0.65,40.05,26.0,0.3333333333333333,52.0,-28.368421052631582,-0.3166666666666667,11.950000000000003
pepechess1,t3HNVCM3,1746402435950,2248.0,26,3,54.36842105263158,0.65,40.05,41.0,0.6666666666666666,48.333333333333336,-13.368421052631582,0.016666666666666607,8.283333333333339
pollocuba2019,26fc6Qdf,1692727719865,2491.0,28,3,43.6,0.55,37.75,48.333333333333336,0.3333333333333333,33.666666666666664,4.733333333333334,-0.21666666666666673,-4.083333333333336
pollocuba2019,JsV50DuX,1697361561438,2520.0,31,3,43.6,0.55,37.75,45.0,1.0,34.333333333333336,1.3999999999999986,0.44999999999999996,-3.4166666666666643
pollocuba2019,yLlwO5kX,1702498654786,2346.0,20,3,43.6,0.55,37.75,35.333333333333336,1.0,51.666666666666664,-8.266666666666666,0.44999999999999996,13.916666666666664
sahibsinghknight,X1yClquG,1765293843622,2586.0,47,3,33.94736842105263,0.6,40.3,30.0,0.6666666666666666,36.333333333333336,-3.94736842105263,0.06666666666666665,-3.9666666666666615
sahibsinghknight,NkoGZvoD,1765294185708,2493.0,49,3,33.94736842105263,0.6,40.3,19.333333333333332,1.0,32.0,-14.614035087719298,0.4,-8.299999999999997
sahibsinghknight,2jmxQIb7,1765384960151,2426.0,61,3,33.94736842105263,0.6,40.3,25.333333333333332,1.0,29.333333333333332,-8.614035087719298,0.4,-10.966666666666665
theKittycat,461TyxvS,1708373373179,2194.0,23,3,43.25,0.4,46.65,26.0,1.0,54.333333333333336,-17.25,0.6,7.683333333333337
theKittycat,hkT8ntPf,1734109716972,2000.0,18,3,43.25,0.4,46.65,73.0,0.0,34.666666666666664,29.75,-0.4,-11.983333333333334
theKittycat,FV8UKm7E,1734110846663,2000.0,36,3,43.25,0.4,46.65,74.0,0.0,38.333333333333336,30.75,-0.4,-8.316666666666663
theKittycat,CT8vvwLt,1734116653315,2000.0,47,3,43.25,0.4,46.65,30.333333333333332,0.0,75.33333333333333,-12.916666666666668,-0.4,28.68333333333333
theKittycat,RyrUqRXk,1734117182723,2000.0,115,3,43.25,0.4,46.65,46.0,0.0,46.0,2.75,-0.4,-0.6499999999999986
theKittycat,wYCeIVj0,1734880060595,2000.0,46,3,43.25,0.4,46.65,47.333333333333336,0.0,49.333333333333336,4.083333333333336,-0.4,2.683333333333337
theKittycat,yj6PSihA,1734881052024,2000.0,27,1,43.25,0.4,46.65,38.0,0.0,56.0,-5.25,-0.4,9.350000000000001
tilsiav,n7PguljT,1728400577857,2621.0,31,3,35.0,0.65,37.1,16.666666666666668,1.0,29.0,-18.333333333333332,0.35,-8.100000000000001
tilsiav,TjQwuchh,1728851475255,2516.0,50,3,35.0,0.65,37.1,14.666666666666666,1.0,33.333333333333336,-20.333333333333336,0.35,-3.7666666666666657
tka3,mqxFfts9,1765741645444,2333.0,45,3,35.21052631578947,0.55,38.1,25.333333333333332,0.3333333333333333,33.0,-9.87719298245614,-0.21666666666666673,-5.100000000000001
tka3,BDV4Furp,1765742014696,2637.0,44,3,35.21052631578947,0.55,38.1,47.333333333333336,0.0,31.666666666666668,12.122807017543863,-0.55,-6.433333333333334
tka3,s9lhAiWq,1765742803324,2670.0,32,3,35.21052631578947,0.55,38.1,46.666666666666664,0.3333333333333333,38.0,11.456140350877192,-0.21666666666666673,-0.10000000000000142
tomikapi2,BvSkR2fR,1733943488081,2484.0,58,3,37.3,0.75,44.9,37.666666666666664,1.0,37.0,0.36666666666666714,0.25,-7.899999999999999
tomikapi2,g1i8Ng75,1734297723722,2746.0,63,3,37.3,0.75,44.9,42.0,0.6666666666666666,39.333333333333336,4.700000000000003,-0.08333333333333337,-5.566666666666663
tomikapi2,OapwLsb8,1736468392771,2367.0,33,3,37.3,0.75,44.9,35.666666666666664,1.0,41.333333333333336,-1.6333333333333329,0.25,-3.566666666666663
tomikapi2,05GO71Ja,1760209462108,2823.0,45,3,37.3,0.75,44.9,31.333333333333332,1.0,28.333333333333332,-5.966666666666665,0.25,-16.566666666666666
tomikapi2,LGS4QZte,1760210559154,2302.0,40,1,37.3,0.75,44.9,36.0,1.0,52.0,-1.2999999999999972,0.25,7.100000000000001
zabivol_mc,nyJ2xUVJ,1738255156546,2177.0,27,3,32.95,0.7,29.2,28.333333333333332,0.6666666666666666,26.333333333333332,-4.616666666666671,-0.033333333333333326,-2.866666666666667
zabivol_mc,LejA2Lrm,1741018238236,2202.0,33,3,32.95,0.7,29.2,50.666666666666664,1.0,31.0,17.71666666666666,0.30000000000000004,1.8000000000000007
zabivol_mc,o3aSSCcb,1751102513254,2130.0,41,3,32.95,0.7,29.2,17.0,1.0,19.0,-15.950000000000003,0.30000000000000004,-10.2
