White,Black,White_Elo,Black_Elo,White_Sex,White_Sex_Source,Black_Sex,Black_Sex_Source,Result,ECO,Opening,Date,PlyCount,RatingDiff,File,Pairing
Davigator,konami3000,2414,2316,M,confirmed,F,inferred,1-0,B80,Sicilian Defense: Scheveningen Variation,2016.02.25,77,98,lichess_elite_2016-02.pgn,Male vs Perceived Female (Inferred)
Davigator,konami3000,2408,2323,M,confirmed,F,inferred,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation,2016.02.25,101,85,lichess_elite_2016-02.pgn,Male vs Perceived Female (Inferred)
jeffforever,Berthe,2519,2427,M,confirmed,F,inferred,1-0,C65,Ruy Lopez: Berlin Defense #2,2016.03.01,91,92,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
jeffforever,Berthe,2538,2412,M,confirmed,F,inferred,1-0,C60,Ruy Lopez: Fianchetto Defense,2016.03.01,31,126,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
elrond,petra51,2406,2207,M,inferred,F,inferred,1-0,A46,Torre Attack #2,2016.03.02,53,199,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
orlando70,petra51,2463,2209,M,inferred,F,inferred,1/2-1/2,E15,Queen's Indian Defense: Fianchetto Variation,2016.03.05,108,254,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
jim2600,Danka0711,2456,2344,M,inferred,F,inferred,1-0,B52,"Sicilian Defense: Canal Attack, Main Line",2016.03.08,115,112,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
jim2600,Danka0711,2464,2337,M,inferred,F,inferred,1-0,A61,Benoni Defense,2016.03.08,87,127,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
Miguoel,lama17,2506,2392,M,inferred,F,inferred,1/2-1/2,A40,Horwitz Defense,2016.03.10,141,114,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
Elda64,lama17,2565,2368,M,confirmed,F,inferred,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,2016.03.11,90,197,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
jim2600,marijana121,2539,2256,M,inferred,F,inferred,1-0,B00,St. George Defense: Polish Variation,2016.03.11,171,283,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
boy81,petra51,2563,2215,M,inferred,F,inferred,1-0,E32,Nimzo-Indian Defense: Classical Variation,2016.03.12,57,348,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
boy81,petra51,2572,2209,M,inferred,F,inferred,1-0,A00,Hungarian Opening,2016.03.12,43,363,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
boy81,petra51,2580,2204,M,inferred,F,inferred,1-0,A35,"English Opening: Symmetrical Variation, Four Knights Variation",2016.03.12,29,376,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
boy81,petra51,2588,2200,M,inferred,F,inferred,1-0,A00,Van Geet Opening: Reversed Nimzowitsch,2016.03.12,69,388,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
Cofi7,ia2000,2461,2336,M,confirmed,F,inferred,1-0,A00,Polish Opening,2016.03.13,73,125,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
whogeeyao,armine,2487,2250,M,confirmed,F,inferred,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack",2016.03.14,52,237,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
whogeeyao,ia2000,2484,2261,M,confirmed,F,inferred,0-1,B06,Modern Defense,2016.03.14,56,223,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
whogeeyao,ia2000,2445,2295,M,confirmed,F,inferred,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation",2016.03.14,105,150,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
Pouya1360,Miranda_Alfred,2380,2518,M,inferred,F,inferred,0-1,B16,Caro-Kann Defense: Bronstein-Larsen Variation,2016.03.19,86,-138,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
coventry,Berthe,2342,2544,M,confirmed,F,inferred,1-0,E06,Catalan Opening: Closed Variation,2016.03.24,57,-202,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
Davigator,sora0825,2319,2537,M,confirmed,F,inferred,0-1,C42,Russian Game: Three Knights Game,2016.03.25,57,-218,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
orlando70,sora0825,2408,2635,M,inferred,F,inferred,0-1,D20,Queen's Gambit Accepted: Old Variation,2016.03.25,18,-227,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
tagir1987,sora0825,2230,2628,M,inferred,F,inferred,1-0,D20,Queen's Gambit Accepted,2016.03.26,59,-398,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
petro2561,Berthe,2348,2538,M,inferred,F,inferred,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",2016.03.26,54,-190,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
Kit_Zagiblik,sora0825,2336,2664,M,inferred,F,inferred,0-1,D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",2016.03.26,45,-328,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
jim2600,lama17,2453,2422,M,inferred,F,inferred,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,2016.03.28,123,31,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
Elda64,Le_Truand,2736,2395,M,confirmed,F,inferred,1-0,A54,Old Indian Defense: Tartakower-Indian,2016.03.29,49,341,lichess_elite_2016-03.pgn,Male vs Perceived Female (Inferred)
